source_name,source_party,source_state,target_name,target_party,target_state,distance
Delores G. Kelley,Democratic,md,Malcolm L. Augustine,Democratic,md,0.0038694238534589063
Delores G. Kelley,Democratic,md,Darryl Barnes,Democratic,md,0.004882325715023598
Delores G. Kelley,Democratic,md,Bonnie Cullison,Democratic,md,0.016674652568175595
Delores G. Kelley,Democratic,md,Craig Zucker,Democratic,md,0.041506779673852606
Don Parsons,Republican,ga,Doug Broxson,Republican,fl,0.10002978340136684
Don Parsons,Republican,ga,Brandon Beach,Republican,ga,0.11987575994552825
Don Parsons,Republican,ga,Michael Caldwell,Republican,GA,0.12733769769524445
Don Parsons,Republican,ga,Mike La Rosa,Republican,FL,0.13262649771803597
David Place,Republican,ri,G. A. Hardaway,Democratic,tn,0.13285696944509104
James Morefield,Republican,va,Anthony Rodriguez,Republican,fl,0.0
James Morefield,Republican,va,Geraldine Valentino-Smith,Democratic,md,0.0
James Morefield,Republican,va,Angie Hatton,Democratic,ky,0.0
James Morefield,Republican,va,Neil Breslin,Democratic,ny,0.0
Marjorie Decker,Democratic,ma,Julian Cyr,Democratic,ma,0.012720977173391252
Marjorie Decker,Democratic,ma,Andy Vargas,Democratic,ma,0.02028487180634041
Marjorie Decker,Democratic,ma,Adam G. Hinds,Democratic,ma,0.03881298080592291
Marjorie Decker,Democratic,ma,Austin Davis,Democratic,pa,0.051101618014252906
Monica Duran,Democratic,co,Christopher Louis Kennedy,Democratic,co,0.048299077845418
Monica Duran,Democratic,co,Brittany Pettersen,Democratic,co,0.0906726577407108
Monica Duran,Democratic,co,Tom Sullivan,Democratic,co,0.09666572499714002
Monica Duran,Democratic,co,Susan Lontine,Democratic,co,0.10201845434378877
Susan Valdes,Democratic,fl,Chuck McGrady,Republican,NC,0.14557387617511813
Gina Walsh,Democratic,MO,Jo Doll,Democratic,mo,0.14728764940043845
Geraldine Valentino-Smith,Democratic,md,Anthony Rodriguez,Republican,fl,0.0
Geraldine Valentino-Smith,Democratic,md,James Morefield,Republican,va,0.0
Geraldine Valentino-Smith,Democratic,md,Angie Hatton,Democratic,ky,0.0
Geraldine Valentino-Smith,Democratic,md,Neil Breslin,Democratic,ny,0.0
Anthony Rodriguez,Republican,fl,Geraldine Valentino-Smith,Democratic,md,0.0
Anthony Rodriguez,Republican,fl,James Morefield,Republican,va,0.0
Anthony Rodriguez,Republican,fl,Angie Hatton,Democratic,ky,0.0
Anthony Rodriguez,Republican,fl,Neil Breslin,Democratic,ny,0.0
Angie Hatton,Democratic,ky,Anthony Rodriguez,Republican,fl,0.0
Angie Hatton,Democratic,ky,Geraldine Valentino-Smith,Democratic,md,0.0
Angie Hatton,Democratic,ky,James Morefield,Republican,va,0.0
Angie Hatton,Democratic,ky,Neil Breslin,Democratic,ny,0.0
Jeff Edler,Republican,ia,Anthony Rodriguez,Republican,fl,0.0
Jeff Edler,Republican,ia,Geraldine Valentino-Smith,Democratic,md,0.0
Jeff Edler,Republican,ia,James Morefield,Republican,va,0.0
Jeff Edler,Republican,ia,Angie Hatton,Democratic,ky,0.0
Jeff Edler,Republican,ia,Neil Breslin,Democratic,ny,0.0
Dan Bronoske,Democratic,wa,Anthony Rodriguez,Republican,fl,0.0
Dan Bronoske,Democratic,wa,Geraldine Valentino-Smith,Democratic,md,0.0
Dan Bronoske,Democratic,wa,James Morefield,Republican,va,0.0
Dan Bronoske,Democratic,wa,Angie Hatton,Democratic,ky,0.0
Dan Bronoske,Democratic,wa,Neil Breslin,Democratic,ny,0.0
Bryan Zollinger,Republican,ID,Julie Emerson,Republican,la,0.06989215770711846
Bryan Zollinger,Republican,ID,Dan Hall,Republican,MN,0.07236688310263963
Bryan Zollinger,Republican,ID,Nancy K. Barto,Republican,az,0.07382446776652117
Bryan Zollinger,Republican,ID,Jake Teshka,Republican,in,0.07424775975920522
David Standridge,Republican,al,Kristina Roegner,Republican,oh,0.1274053945763862
Kim Hammer,Republican,ar,Alan Clark,Republican,ar,0.08118617693453932
Lisa Zukoff,Democratic,wv,Anthony Rodriguez,Republican,fl,0.0
Lisa Zukoff,Democratic,wv,Geraldine Valentino-Smith,Democratic,md,0.0
Lisa Zukoff,Democratic,wv,James Morefield,Republican,va,0.0
Lisa Zukoff,Democratic,wv,Angie Hatton,Democratic,ky,0.0
Lisa Zukoff,Democratic,wv,Neil Breslin,Democratic,ny,0.0
Kelly Miles,Republican,ut,Anthony Rodriguez,Republican,fl,0.0
Kelly Miles,Republican,ut,Geraldine Valentino-Smith,Democratic,md,0.0
Kelly Miles,Republican,ut,James Morefield,Republican,va,0.0
Kelly Miles,Republican,ut,Angie Hatton,Democratic,ky,0.0
Kelly Miles,Republican,ut,Neil Breslin,Democratic,ny,0.0
John Huot,Democratic,mn,Jamie Eldridge,Democratic,ma,0.01813599219777162
John Huot,Democratic,mn,Dontavius Jarrells,Democratic,oh,0.033111690851400755
John Huot,Democratic,mn,Kari Dziedzic,Democratic,mn,0.042883462370880455
John Huot,Democratic,mn,Dave Pinto,Democratic,mn,0.04425934980954921
Stanley Chang,Democratic,hi,Mary Kunesh-Podein,Democratic,mn,0.12177045355351544
Stanley Chang,Democratic,hi,Liana Cassar,Democratic,ri,0.12523334856518
Stanley Chang,Democratic,hi,Dawn Euer,Democratic,ri,0.12709353115673971
Stanley Chang,Democratic,hi,Melissa Wintrow,Democratic,id,0.12973372864006535
Jeffrey Yaroch,Republican,mi,Anthony Rodriguez,Republican,fl,0.0
Jeffrey Yaroch,Republican,mi,Geraldine Valentino-Smith,Democratic,md,0.0
Jeffrey Yaroch,Republican,mi,James Morefield,Republican,va,0.0
Jeffrey Yaroch,Republican,mi,Angie Hatton,Democratic,ky,0.0
Jeffrey Yaroch,Republican,mi,Neil Breslin,Democratic,ny,0.0
Jean Wagenius,Democratic,MN,Anthony Rodriguez,Republican,fl,0.0
Jean Wagenius,Democratic,MN,Geraldine Valentino-Smith,Democratic,md,0.0
Jean Wagenius,Democratic,MN,James Morefield,Republican,va,0.0
Jean Wagenius,Democratic,MN,Angie Hatton,Democratic,ky,0.0
Jean Wagenius,Democratic,MN,Neil Breslin,Democratic,ny,0.0
Reid Novotny,Republican,md,Ruth Briggs King,Republican,de,0.05005767366816676
Reid Novotny,Republican,md,Seth A. Howard,Republican,md,0.1443723167547432
Reid Novotny,Republican,md,Johnny Mautz,Republican,md,0.14683588092969005
Glen Leavitt,Republican,nv,Jeanie Riddle,Republican,mo,0.08168835648050855
Glen Leavitt,Republican,nv,Heidi Gansert,Republican,nv,0.09573405898797985
Glen Leavitt,Republican,nv,Richard McArthur,Republican,nv,0.10000345490380688
Glen Leavitt,Republican,nv,Keith Pickard,Republican,nv,0.10713063694679235
Matthew Pitaro,Republican,nh,Deanna Jurius,Republican,NH,0.12905196101707106
Lisa Wellman,Democratic,wa,Ann Gillespie,Democratic,il,0.1327352011047627
Lisa Wellman,Democratic,wa,Antonio Hayes,Democratic,md,0.13771332283460427
David Dreyer,Democratic,ga,Mike Woodard,Democratic,nc,0.004817824660079745
David Dreyer,Democratic,ga,Matthew Wilson,Democratic,ga,0.021496454346904757
David Dreyer,Democratic,ga,Carlos Guillermo Smith,Democratic,fl,0.026494117580761326
David Dreyer,Democratic,ga,Graig R. Meyer,Democratic,nc,0.04693403106298938
Tory Marie Arnberger,Republican,ks,Anthony Rodriguez,Republican,fl,0.0
Tory Marie Arnberger,Republican,ks,Geraldine Valentino-Smith,Democratic,md,0.0
Tory Marie Arnberger,Republican,ks,James Morefield,Republican,va,0.0
Tory Marie Arnberger,Republican,ks,Angie Hatton,Democratic,ky,0.0
Tory Marie Arnberger,Republican,ks,Neil Breslin,Democratic,ny,0.0
Jerome Zeringue,Republican,la,Anthony Rodriguez,Republican,fl,0.0
Jerome Zeringue,Republican,la,Geraldine Valentino-Smith,Democratic,md,0.0
Jerome Zeringue,Republican,la,James Morefield,Republican,va,0.0
Jerome Zeringue,Republican,la,Angie Hatton,Democratic,ky,0.0
Jerome Zeringue,Republican,la,Neil Breslin,Democratic,ny,0.0
Pete Lee,Democratic,co,Rachel Zenzinger,Democratic,co,0.05445253502323043
Pete Lee,Democratic,co,Tracy Kraft-Tharp,Democratic,CO,0.07083788397889183
Pete Lee,Democratic,co,Jovan Melton,Democratic,CO,0.07233474020267107
Michael LiPetri,Republican,NY,Anthony Rodriguez,Republican,fl,0.0
Michael LiPetri,Republican,NY,Geraldine Valentino-Smith,Democratic,md,0.0
Michael LiPetri,Republican,NY,James Morefield,Republican,va,0.0
Michael LiPetri,Republican,NY,Angie Hatton,Democratic,ky,0.0
Michael LiPetri,Republican,NY,Neil Breslin,Democratic,ny,0.0
Candie Sweetser,Democratic,nm,Anthony Rodriguez,Republican,fl,0.0
Candie Sweetser,Democratic,nm,Geraldine Valentino-Smith,Democratic,md,0.0
Candie Sweetser,Democratic,nm,James Morefield,Republican,va,0.0
Candie Sweetser,Democratic,nm,Angie Hatton,Democratic,ky,0.0
Candie Sweetser,Democratic,nm,Neil Breslin,Democratic,ny,0.0
Carol Doherty,Democratic,ma,Anthony Rodriguez,Republican,fl,0.0
Carol Doherty,Democratic,ma,Geraldine Valentino-Smith,Democratic,md,0.0
Carol Doherty,Democratic,ma,James Morefield,Republican,va,0.0
Carol Doherty,Democratic,ma,Angie Hatton,Democratic,ky,0.0
Carol Doherty,Democratic,ma,Neil Breslin,Democratic,ny,0.0
Cary Pigman,Republican,FL,Kathleen Passidomo,Republican,fl,0.059250893565185696
Cary Pigman,Republican,FL,Paul Renner,Republican,fl,0.06118439602551023
Cary Pigman,Republican,FL,Bryan Avila,Republican,fl,0.07330800490361583
Cary Pigman,Republican,FL,Felicia Robinson,Democratic,fl,0.08187916926834164
Mike Mrowicki,Democratic,vt,Anthony Rodriguez,Republican,fl,0.0
Mike Mrowicki,Democratic,vt,Geraldine Valentino-Smith,Democratic,md,0.0
Mike Mrowicki,Democratic,vt,James Morefield,Republican,va,0.0
Mike Mrowicki,Democratic,vt,Angie Hatton,Democratic,ky,0.0
Mike Mrowicki,Democratic,vt,Neil Breslin,Democratic,ny,0.0
Thomas R. Tillis,Republican,TN,Anthony Rodriguez,Republican,fl,0.0
Thomas R. Tillis,Republican,TN,Geraldine Valentino-Smith,Democratic,md,0.0
Thomas R. Tillis,Republican,TN,James Morefield,Republican,va,0.0
Thomas R. Tillis,Republican,TN,Angie Hatton,Democratic,ky,0.0
Thomas R. Tillis,Republican,TN,Neil Breslin,Democratic,ny,0.0
Tim Grayson,Democratic,ca,Steven Bradford,Democratic,ca,0.04903418530871711
Tim Grayson,Democratic,ca,Jim Wood,Democratic,ca,0.052428376600209076
Tim Grayson,Democratic,ca,Anthony Rendon,Democratic,ca,0.05699580238020883
Tim Grayson,Democratic,ca,Josh Newman,Democratic,ca,0.0767833918768087
Ralph Massullo,Republican,fl,Anthony Rodriguez,Republican,fl,0.0
Ralph Massullo,Republican,fl,Geraldine Valentino-Smith,Democratic,md,0.0
Ralph Massullo,Republican,fl,James Morefield,Republican,va,0.0
Ralph Massullo,Republican,fl,Angie Hatton,Democratic,ky,0.0
Ralph Massullo,Republican,fl,Neil Breslin,Democratic,ny,0.0
John W. Matthews Jr.,Democratic,SC,Anthony Rodriguez,Republican,fl,0.0
John W. Matthews Jr.,Democratic,SC,Geraldine Valentino-Smith,Democratic,md,0.0
John W. Matthews Jr.,Democratic,SC,James Morefield,Republican,va,0.0
John W. Matthews Jr.,Democratic,SC,Angie Hatton,Democratic,ky,0.0
John W. Matthews Jr.,Democratic,SC,Neil Breslin,Democratic,ny,0.0
Fred Baldwin,Republican,wy,Anthony Rodriguez,Republican,fl,0.0
Fred Baldwin,Republican,wy,Geraldine Valentino-Smith,Democratic,md,0.0
Fred Baldwin,Republican,wy,James Morefield,Republican,va,0.0
Fred Baldwin,Republican,wy,Angie Hatton,Democratic,ky,0.0
Fred Baldwin,Republican,wy,Neil Breslin,Democratic,ny,0.0
Teri Anulewicz,Democratic,ga,Jeff Jackson,Democratic,nc,0.0026711644310987224
Teri Anulewicz,Democratic,ga,Michael Garrett,Democratic,nc,0.145725887775161
Sara Gelser,Democratic,or,Emilia Sykes,Democratic,oh,0.10355598337964259
Sara Gelser,Democratic,or,Theresa Mah,Democratic,il,0.10481205939925767
Sara Gelser,Democratic,or,Terri-Denise Cortvriend,Democratic,ri,0.10527796218134788
Sara Gelser,Democratic,or,Michael Connolly,Democratic,ma,0.10676272922029305
Alana dimario,Republican,ri,Anthony Rodriguez,Republican,fl,0.0
Alana dimario,Republican,ri,Geraldine Valentino-Smith,Democratic,md,0.0
Alana dimario,Republican,ri,James Morefield,Republican,va,0.0
Alana dimario,Republican,ri,Angie Hatton,Democratic,ky,0.0
Alana dimario,Republican,ri,Neil Breslin,Democratic,ny,0.0
Mark Born,Republican,wi,Anthony Rodriguez,Republican,fl,0.0
Mark Born,Republican,wi,Geraldine Valentino-Smith,Democratic,md,0.0
Mark Born,Republican,wi,James Morefield,Republican,va,0.0
Mark Born,Republican,wi,Angie Hatton,Democratic,ky,0.0
Mark Born,Republican,wi,Neil Breslin,Democratic,ny,0.0
Scotty Campbell,Republican,tn,Joe Schomacker,Republican,mn,0.12760608402882723
Michael J. Grant,Republican,fl,Todd Johnson,Republican,nc,0.08972284016179116
Michael J. Grant,Republican,fl,John Torbett,Republican,nc,0.11324481493473952
Michael J. Grant,Republican,fl,Michael Smith,Democratic,ga,0.1212660942484062
Michael J. Grant,Republican,fl,Ana Maria Rodriguez,Republican,fl,0.12551224250546056
Kelly Kortum,Democratic,mt,Anthony Rodriguez,Republican,fl,0.0
Kelly Kortum,Democratic,mt,Geraldine Valentino-Smith,Democratic,md,0.0
Kelly Kortum,Democratic,mt,James Morefield,Republican,va,0.0
Kelly Kortum,Democratic,mt,Angie Hatton,Democratic,ky,0.0
Kelly Kortum,Democratic,mt,Neil Breslin,Democratic,ny,0.0
Tracy Estes,Republican,al,Anthony Rodriguez,Republican,fl,0.0
Tracy Estes,Republican,al,Geraldine Valentino-Smith,Democratic,md,0.0
Tracy Estes,Republican,al,James Morefield,Republican,va,0.0
Tracy Estes,Republican,al,Angie Hatton,Democratic,ky,0.0
Tracy Estes,Republican,al,Neil Breslin,Democratic,ny,0.0
LaKeshia Myers,Democratic,wi,Anthony Rodriguez,Republican,fl,0.0
LaKeshia Myers,Democratic,wi,Geraldine Valentino-Smith,Democratic,md,0.0
LaKeshia Myers,Democratic,wi,James Morefield,Republican,va,0.0
LaKeshia Myers,Democratic,wi,Angie Hatton,Democratic,ky,0.0
LaKeshia Myers,Democratic,wi,Neil Breslin,Democratic,ny,0.0
Cody Horlacher,Republican,wi,Anthony Rodriguez,Republican,fl,0.0
Cody Horlacher,Republican,wi,Geraldine Valentino-Smith,Democratic,md,0.0
Cody Horlacher,Republican,wi,James Morefield,Republican,va,0.0
Cody Horlacher,Republican,wi,Angie Hatton,Democratic,ky,0.0
Cody Horlacher,Republican,wi,Neil Breslin,Democratic,ny,0.0
Pat Hurley,Republican,nc,Anthony Rodriguez,Republican,fl,0.0
Pat Hurley,Republican,nc,Geraldine Valentino-Smith,Democratic,md,0.0
Pat Hurley,Republican,nc,James Morefield,Republican,va,0.0
Pat Hurley,Republican,nc,Angie Hatton,Democratic,ky,0.0
Pat Hurley,Republican,nc,Neil Breslin,Democratic,ny,0.0
Amanda Ragan,Democratic,ia,Anthony Rodriguez,Republican,fl,0.0
Amanda Ragan,Democratic,ia,Geraldine Valentino-Smith,Democratic,md,0.0
Amanda Ragan,Democratic,ia,James Morefield,Republican,va,0.0
Amanda Ragan,Democratic,ia,Angie Hatton,Democratic,ky,0.0
Amanda Ragan,Democratic,ia,Neil Breslin,Democratic,ny,0.0
Rich Draheim,Republican,mn,Anthony Rodriguez,Republican,fl,0.0
Rich Draheim,Republican,mn,Geraldine Valentino-Smith,Democratic,md,0.0
Rich Draheim,Republican,mn,James Morefield,Republican,va,0.0
Rich Draheim,Republican,mn,Angie Hatton,Democratic,ky,0.0
Rich Draheim,Republican,mn,Neil Breslin,Democratic,ny,0.0
Schuyler VanValkenburg,Democratic,va,Anthony Rodriguez,Republican,fl,0.0
Schuyler VanValkenburg,Democratic,va,Geraldine Valentino-Smith,Democratic,md,0.0
Schuyler VanValkenburg,Democratic,va,James Morefield,Republican,va,0.0
Schuyler VanValkenburg,Democratic,va,Angie Hatton,Democratic,ky,0.0
Schuyler VanValkenburg,Democratic,va,Neil Breslin,Democratic,ny,0.0
Sharon Shewmake,Democratic,wa,Drew Hansen,Democratic,wa,0.07871136595897099
Sharon Shewmake,Democratic,wa,Brian King,Democratic,ut,0.12914270753231072
Sharon Shewmake,Democratic,wa,Jennifer Healy Keintz,Democratic,sd,0.1321704626194281
Sharon Shewmake,Democratic,wa,Karla Rose Hanson,Democratic,nd,0.1321935688503275
Anita Burroughs,Democratic,nh,Alexis Simpson,Democratic,nh,0.0036742736162349164
Anita Burroughs,Democratic,nh,Jennifer Bernet,Democratic,NH,0.011648277368629703
Anita Burroughs,Democratic,nh,Robert Cushing,Democratic,nh,0.044863863751657955
Anita Burroughs,Democratic,nh,Allison Nutting-Wong,Democratic,nh,0.05090512270244761
Vikki Goodwin,Democratic,tx,Anthony Rodriguez,Republican,fl,0.0
Vikki Goodwin,Democratic,tx,Geraldine Valentino-Smith,Democratic,md,0.0
Vikki Goodwin,Democratic,tx,James Morefield,Republican,va,0.0
Vikki Goodwin,Democratic,tx,Angie Hatton,Democratic,ky,0.0
Vikki Goodwin,Democratic,tx,Neil Breslin,Democratic,ny,0.0
Christine Conley,Democratic,ct,Anthony Rodriguez,Republican,fl,0.0
Christine Conley,Democratic,ct,Geraldine Valentino-Smith,Democratic,md,0.0
Christine Conley,Democratic,ct,James Morefield,Republican,va,0.0
Christine Conley,Democratic,ct,Angie Hatton,Democratic,ky,0.0
Christine Conley,Democratic,ct,Neil Breslin,Democratic,ny,0.0
Peter Abbate,Democratic,ny,Anthony Rodriguez,Republican,fl,0.0
Peter Abbate,Democratic,ny,Geraldine Valentino-Smith,Democratic,md,0.0
Peter Abbate,Democratic,ny,James Morefield,Republican,va,0.0
Peter Abbate,Democratic,ny,Angie Hatton,Democratic,ky,0.0
Peter Abbate,Democratic,ny,Neil Breslin,Democratic,ny,0.0
Matthew Bradford,Democratic,pa,William C. Kortz,Democratic,PA,0.07715350813062116
Matthew Bradford,Democratic,pa,Ed Neilson,Democratic,pa,0.11225167182993201
Matthew Bradford,Democratic,pa,David DeCoste,Republican,ma,0.11278820106414641
Matthew Bradford,Democratic,pa,Richard Codey,Democratic,nj,0.11348466009964119
Laura Fine,Democratic,il,Michelle DuBois,Democratic,ma,0.04321053814047346
Laura Fine,Democratic,il,Kelly Cassidy,Democratic,il,0.043702899698967915
Laura Fine,Democratic,il,Diana DiZoglio,Democratic,ma,0.04677266793180816
Laura Fine,Democratic,il,Kyle Gay,Democratic,de,0.04861136391689574
Danny Hamrick,Republican,wv,Chris Todd,Republican,tn,0.007854187523995405
Danny Hamrick,Republican,wv,Robert Karnes,Republican,wv,0.05005984477779138
Danny Hamrick,Republican,wv,Bryan Slaton,Republican,tx,0.05911831175585055
Danny Hamrick,Republican,wv,Jonathan Stickland,Republican,TX,0.08805776541037882
Terrence Upchurch,Democratic,oh,Anthony Rodriguez,Republican,fl,0.0
Terrence Upchurch,Democratic,oh,Geraldine Valentino-Smith,Democratic,md,0.0
Terrence Upchurch,Democratic,oh,James Morefield,Republican,va,0.0
Terrence Upchurch,Democratic,oh,Angie Hatton,Democratic,ky,0.0
Terrence Upchurch,Democratic,oh,Neil Breslin,Democratic,ny,0.0
Stephanie Clayton,Democratic,ks,Jason Probst,Democratic,ks,0.09004519815222532
Stephanie Clayton,Democratic,ks,Elizabeth Bishop,Democratic,ks,0.1130060960295364
Gordon M. Johnson,Democratic,nj,Andreas Borgeas,Republican,ca,0.08057955093022982
Dave Severin,Republican,il,Anthony Rodriguez,Republican,fl,0.0
Dave Severin,Republican,il,Geraldine Valentino-Smith,Democratic,md,0.0
Dave Severin,Republican,il,James Morefield,Republican,va,0.0
Dave Severin,Republican,il,Angie Hatton,Democratic,ky,0.0
Dave Severin,Republican,il,Neil Breslin,Democratic,ny,0.0
Kevin Payne,Republican,az,Anthony Rodriguez,Republican,fl,0.0
Kevin Payne,Republican,az,Geraldine Valentino-Smith,Democratic,md,0.0
Kevin Payne,Republican,az,James Morefield,Republican,va,0.0
Kevin Payne,Republican,az,Angie Hatton,Democratic,ky,0.0
Kevin Payne,Republican,az,Neil Breslin,Democratic,ny,0.0
Katrina Robinson,Democratic,tn,Anthony Rodriguez,Republican,fl,0.0
Katrina Robinson,Democratic,tn,Geraldine Valentino-Smith,Democratic,md,0.0
Katrina Robinson,Democratic,tn,James Morefield,Republican,va,0.0
Katrina Robinson,Democratic,tn,Angie Hatton,Democratic,ky,0.0
Katrina Robinson,Democratic,tn,Neil Breslin,Democratic,ny,0.0
Eric Gjerde,Democratic,ia,Anthony Rodriguez,Republican,fl,0.0
Eric Gjerde,Democratic,ia,Geraldine Valentino-Smith,Democratic,md,0.0
Eric Gjerde,Democratic,ia,James Morefield,Republican,va,0.0
Eric Gjerde,Democratic,ia,Angie Hatton,Democratic,ky,0.0
Eric Gjerde,Democratic,ia,Neil Breslin,Democratic,ny,0.0
Terry Johnson,Republican,oh,Gary Click,Republican,oh,0.12314640674167045
Terry Johnson,Republican,oh,John H. Frey,Republican,CT,0.13326622533454507
Terry Johnson,Republican,oh,Greg Rothman,Republican,pa,0.1420648136555855
Beth Liston,Democratic,oh,Anthony Rodriguez,Republican,fl,0.0
Beth Liston,Democratic,oh,Geraldine Valentino-Smith,Democratic,md,0.0
Beth Liston,Democratic,oh,James Morefield,Republican,va,0.0
Beth Liston,Democratic,oh,Angie Hatton,Democratic,ky,0.0
Beth Liston,Democratic,oh,Neil Breslin,Democratic,ny,0.0
John McGuire,Republican,va,Anthony Rodriguez,Republican,fl,0.0
John McGuire,Republican,va,Geraldine Valentino-Smith,Democratic,md,0.0
John McGuire,Republican,va,James Morefield,Republican,va,0.0
John McGuire,Republican,va,Angie Hatton,Democratic,ky,0.0
John McGuire,Republican,va,Neil Breslin,Democratic,ny,0.0
Nathan Johnson,Democratic,tx,Anthony Rodriguez,Republican,fl,0.0
Nathan Johnson,Democratic,tx,Geraldine Valentino-Smith,Democratic,md,0.0
Nathan Johnson,Democratic,tx,James Morefield,Republican,va,0.0
Nathan Johnson,Democratic,tx,Angie Hatton,Democratic,ky,0.0
Nathan Johnson,Democratic,tx,Neil Breslin,Democratic,ny,0.0
John Cyrier,Republican,tx,Larry Taylor,Republican,tx,0.01577487133263992
John Cyrier,Republican,tx,Gary Gates,Republican,tx,0.01577487133263992
John Cyrier,Republican,tx,Cole Hefner,Republican,tx,0.015774871332646958
John Cyrier,Republican,tx,Jacey Jetton,Republican,tx,0.015774871332646958
Bart Rowland,Republican,ky,Steve West,Republican,ky,0.008196878180355964
Bart Rowland,Republican,ky,Arnold Mooney,Republican,al,0.0180812491467438
Bart Rowland,Republican,ky,Denise Crosswhite Hader,Republican,ok,0.031690286338594935
Bart Rowland,Republican,ky,Phillip Pratt,Republican,ky,0.035821951816132194
Chris Garten,Republican,in,Mike Ball,Republican,al,0.14578030272887355
Jason Ortitay,Republican,pa,Tommy Norment,Republican,va,0.09565515504008514
David Gregory,Republican,mo,Anthony Rodriguez,Republican,fl,0.0
David Gregory,Republican,mo,Geraldine Valentino-Smith,Democratic,md,0.0
David Gregory,Republican,mo,James Morefield,Republican,va,0.0
David Gregory,Republican,mo,Angie Hatton,Democratic,ky,0.0
David Gregory,Republican,mo,Neil Breslin,Democratic,ny,0.0
Caleb Hanna,Republican,wv,Anthony Rodriguez,Republican,fl,0.0
Caleb Hanna,Republican,wv,Geraldine Valentino-Smith,Democratic,md,0.0
Caleb Hanna,Republican,wv,James Morefield,Republican,va,0.0
Caleb Hanna,Republican,wv,Angie Hatton,Democratic,ky,0.0
Caleb Hanna,Republican,wv,Neil Breslin,Democratic,ny,0.0
